Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
Colombia,COL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.09,-0.133,-0.058,0.117,-0.217,0.117,-0.274,-0.238,0.363,0.052,-0.431,-0.022,0.349,-0.306,-0.304,-0.24,0.214,0.109,0.191,0.446,0.129,0.192,0.636,-0.233,-0.015,0.017,0.573,0.312,-0.091,0.31,0.449,0.606,0.263,0.245,0.517,0.143,0.504,0.901,-0.01,-0.009,0.438,0.675,0.693,0.585,0.681,0.531,0.641,0.385,0.856,1.037,0.467,0.668,0.834,0.854,1.249,1.08,0.82,1.137,1.397,1.583,1.073,0.874,Latin America & Caribbean,Upper middle income,1141748.0,47
Costa Rica,CRI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.549,0.135,0.163,-0.256,-0.398,0.187,0.296,0.175,0.213,0.425,0.189,0.604,1.052,0.035,-0.047,0.1506772486772487,0.658,0.119,0.067,0.591,0.582,0.498,0.308,0.514,0.633,-0.021,0.862,1.139,-0.174,-0.017,0.608,0.894,0.864,0.796,0.584,0.775,0.75,0.349,1.052,0.989,0.564,0.9014205607476635,0.9308046511627907,1.1151023255813954,1.2691116279069767,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.5512843601895736,1.3430424528301887,1.3820566037735849,Latin America & Caribbean,Upper middle income,51100.0,102
Cuba,CUB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.084,-0.07,-0.127,0.102,0.023,-0.325,-0.234,-0.339,0.024,-0.349,0.067,0.433,0.403,0.087,0.528,-0.194,0.131,0.034,0.349,0.49,-0.016,0.591,0.303,0.287,0.235,0.357,0.736,0.603,0.68,0.836,0.899,0.608,0.639,1.016,1.222,0.627,1.031,1.191,0.806,0.508,0.535,0.945,1.089,0.872,0.787,0.914,0.902,0.642,0.93,0.957,0.538,0.611,0.885,1.144,1.439,1.37,1.275,1.177,1.634,1.722,1.304,1.437,Latin America & Caribbean,Upper middle income,109884.0,108
Cyprus,CYP,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.039,0.789,0.691,-0.612,-0.208,0.637,-0.774,-0.031,0.165,0.495,-0.256,-0.625,-0.379,-0.177,-0.225,-0.713,0.15,-0.028,0.607,-0.295,0.088,-0.337,-0.805,0.013,-0.068,0.249,-0.26,0.044,0.085,0.069,0.379,-0.928,-0.421,1.047,0.058,0.253,0.008,0.961,1.079,0.618,1.161,0.836,0.585,0.614,0.335,0.622,0.814,1.031,0.983,2.03,0.715,0.97,1.238,1.048,1.139,1.493,0.776,2.119,1.524,1.668,1.994,1.237,Europe & Central Asia,High income,9251.0,136
Denmark,DNK,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.117,-0.641,-1.019,-0.274,-0.603,-0.5,0.831,0.277,-0.135,-1.204,0.261,0.289,0.67,0.58,1.335,0.301,-0.014,0.145,-1.191,-0.441,0.3,0.002,1.06,0.379,-1.004,-0.444,-0.985,0.925,1.803,1.843,0.616,1.452,0.235,0.967,1.304,-0.753,0.651,0.869,1.334,1.719,1.044,1.652,0.707,1.032,1.282,1.349,2.136,1.853,1.32,-0.199,0.677,1.139,0.397,2.677,1.516,1.852,1.619,2.109,2.18,2.633,1.69,2.219,Europe & Central Asia,High income,43094.0,148
Djibouti,DJI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.118,-0.207,0.045,-0.289,-0.425,0.008,-0.465,-0.503,0.226,0.016,-0.236,0.115,0.686,-0.13,0.195,0.028,0.279,0.292,0.131,0.808,0.099,0.182,0.327,-0.096,0.051,-0.055,0.204,0.567,-0.104,0.524,0.467,0.434,0.303,0.275,0.659,0.775,0.663,1.004,0.409,0.834,0.811,1.363,1.468,0.953,1.206,0.889,0.864,0.302,1.404,1.037,0.902,0.9014205607476635,1.23,1.093,1.586,1.349,1.811,1.421,1.465,1.533,1.129,1.547,Middle East & North Africa,Lower middle income,23200.0,49
Dominica,DMA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.033,0.146,0.256,0.081,-0.297,0.104,-0.23,-0.222,0.382,0.181,-0.218,-0.083,0.163,-0.396,-0.392,-0.434,0.045,0.086,0.163,0.43,0.438,0.08,0.457,-0.039,-0.062,0.015,0.596,0.394,-0.056,0.436,0.453,0.433,0.51,0.572,0.695,0.434,0.595,0.999,0.486,0.282,0.518,0.684,0.782,0.491,0.819,0.718,0.871,0.401,0.539,1.193,0.591,0.703,0.715,0.704,0.918,1.057,0.821,0.561,0.752,1.087,0.727,0.688,Latin America & Caribbean,Upper middle income,751.0,97
Ecuador,ECU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.108,-0.218,-0.062,-0.239,0.111,0.042,-0.422,-0.346,0.442,-0.131,-0.569,0.55,0.124,-0.246,-0.314,0.32,0.341,0.237,0.514,0.496,0.028,0.595,1.176,0.024,-0.07,0.194,1.074,0.425,-0.003,0.503,0.536,0.873,0.571,0.363,0.738,0.053,1.24,1.311,0.202,0.244,0.478,0.777,0.83,0.835,0.837,0.808,0.818,0.702,0.961,1.087,0.783,0.663,0.491,1.011,1.393,1.55,1.155,0.967,1.279,1.509,1.032,0.736,Latin America & Caribbean,Upper middle income,276841.0,73
El Salvador,SLV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.073,-0.248,-0.157,-0.026,-0.074,0.115,-0.423,-0.319,0.28,-0.031,-0.27,0.395,0.402,-0.311,0.057,-0.212,0.451,0.157,0.462,0.395,0.046,0.372,0.716,0.062,0.158,0.222,0.627,0.596,0.237,0.492,0.584,0.583,0.331,0.641,0.556,0.078,0.752,0.847,0.301,0.318,0.572,0.69,0.878,0.639,0.513,0.495,0.43,0.199,0.788,0.496,0.508,0.634,0.619,0.654,1.285,1.26,0.723,0.774,0.972,1.484,0.999,0.658,Latin America & Caribbean,Upper middle income,21041.0,307
Faroe Islands,FRO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.63,-0.48,-0.056,0.478,-0.354,-0.393,-0.12,-0.25,-0.344,-0.51,0.245,0.672,-0.049,0.501,-0.024,0.508,-0.311,-0.11,-0.873,0.041,-0.364,0.223,-0.266,0.489,-0.118,-0.119,0.221,0.303,0.53,0.801,1.113,0.812,-0.053,-0.172,-0.31,0.202,0.755,0.553,0.469,0.188,0.461,1.034,1.604,1.019,0.487,1.136,0.952,0.89,1.441,0.26,1.055,0.359,0.597,1.764,0.813,0.803,1.49,0.831,0.877,0.839,1.012,1.396,Europe & Central Asia,High income,1393.0,39
Finland,FIN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.892,-0.339,-0.401,0.338,-0.263,-1.801,1.088,-1.634,-0.478,-0.629,-0.452,0.933,1.138,1.121,1.893,-0.877,-0.227,-0.526,-0.755,-0.38,-0.24,-0.155,0.964,0.757,-1.177,-0.181,-1.652,0.579,2.179,1.249,1.138,1.165,0.937,0.146,1.701,0.137,0.783,0.071,1.159,2.024,1.365,1.171,0.713,1.233,2.201,1.204,1.946,2.13,1.695,0.242,1.354,1.54,1.424,2.591,2.613,2.151,1.487,2.157,1.452,3.317,1.938,2.062,Europe & Central Asia,High income,338424.0,18
France,FRA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.827,-0.301,-0.955,0.025,-0.625,0.421,0.494,-0.073,0.024,-0.092,-0.161,-0.325,0.059,-0.081,0.483,0.368,0.015,-0.216,-0.187,-0.217,0.097,0.812,0.721,-0.082,-0.338,-0.003,0.001,0.773,1.278,1.591,0.257,0.659,0.325,1.547,1.326,0.188,1.24,0.947,1.199,1.175,1.391,1.054,1.8,0.969,1.02,1.306,1.407,0.992,1.212,0.395,1.534,1.22,0.714,2.049,1.612,1.794,1.796,2.06,2.023,2.551,1.337,2.929,Europe & Central Asia,High income,551695.0,118
French Polynesia,PYF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.207,-0.046,0.037,-0.137,-0.083,0.081,-0.274,-0.516,0.301,0.182,-0.342,0.119,0.325,-0.342,-0.247,-0.25,0.243,-0.074,0.105,0.225,0.132,0.323,0.189,0.412,0.154,0.278,0.478,0.356,0.159,0.397,0.341,0.352,0.141,0.543,0.582,0.188,0.335,0.633,0.456,0.329,0.502,0.796,0.703,0.531,0.672,0.841,0.85,0.357,0.8,0.76,0.214,0.722,0.536,0.616,0.681,1.127,0.901,0.631,0.857,0.829,0.791,0.359,East Asia & Pacific,High income,4167.0,89
Gabon,GAB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.139,-0.063,0.232,-0.148,-0.164,0.14,-0.127,-0.138,0.11,0.142,-0.053,-0.064,0.468,-0.084,-0.126,-0.335,0.185,0.069,0.385,0.307,-0.176,-0.374,0.174,0.204,-0.219,-0.126,0.272,0.232,-0.023,0.124,0.081,-0.166,0.19,0.187,0.582,0.104,0.292,1.119,0.589,0.307,0.286,0.662,0.893,0.831,0.808,0.737,0.926,0.782,0.824,1.08,0.657,0.615,0.794,0.805,1.024,1.505,1.353,1.026,1.534,1.377,1.063,0.994,Sub-Saharan Africa,Upper middle income,267668.0,9
Georgia,GEO,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.16279679144385029,-0.01375,-0.0069732620320855625,-0.06911764705882355,-0.24715508021390376,0.10500523560209427,-0.1108,-0.19949473684210528,0.15926455026455025,0.09218085106382978,-0.20107894736842108,-0.0843089005235602,0.22916145833333332,-0.1629371727748691,-0.024090909090909086,-0.24555319148936172,0.16525543478260868,0.06999468085106383,0.23384042553191492,0.24684210526315792,0.17725263157894736,0.17696858638743454,0.343984126984127,0.0798663101604278,0.07183422459893048,0.1506772486772487,0.40503174603174597,0.48973015873015874,0.25577248677248676,0.554813829787234,0.36763101604278076,-1.157,-1.204,0.451,0.748,0.189,0.266,1.26,1.229,0.967,1.286,1.06,-0.239,0.923,0.542,1.277,0.908,0.699,0.714,2.486,0.432,1.22,1.401,1.277,1.78,1.365,0.809,2.51,1.753,2.006,1.65,1.51,Europe & Central Asia,Upper middle income,69700.0,54
Germany,DEU,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.99,-0.75,-1.084,-0.328,-0.814,0.407,0.868,0.204,-0.111,-0.832,0.032,-0.014,0.188,0.318,1.099,0.47,0.283,-0.173,-0.64,-0.186,0.296,0.439,1.071,-0.11,-0.8,-0.007,-0.561,0.893,1.491,1.571,0.286,1.228,0.31,1.625,1.307,-0.699,0.558,1.153,1.367,1.764,1.292,1.491,1.258,0.998,1.025,1.254,2.088,1.542,1.282,0.196,1.121,1.349,0.583,2.519,1.674,1.988,1.653,2.393,2.332,2.516,1.325,2.596,Europe & Central Asia,High income,357114.0,238
Ghana,GHA,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.07,-0.154,0.141,-0.233,-0.17,0.068,-0.232,-0.17,0.266,0.302,-0.145,0.024,0.564,0.011,-0.228,-0.353,0.296,0.067,0.561,0.446,0.181,0.177,0.691,0.665,0.357,0.294,0.985,0.645,0.237,0.526,0.394,0.153,0.473,0.564,0.695,0.657,0.502,1.14,0.564,0.43,0.565,0.825,0.988,0.739,0.967,0.991,0.946,0.698,0.884,1.276,0.883,0.614,0.841,0.887,1.132,1.217,1.292,1.081,1.32,1.284,1.494,0.996,Sub-Saharan Africa,Lower middle income,238533.0,150
Gibraltar,GIB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.595,0.536,0.022,0.483,-0.087,0.228,-0.125,0.016,-0.31,-0.048,-0.81,-0.865,-0.157,-0.369,-0.177,-0.469,-0.144,0.213,0.396,0.312,0.358,0.481,0.382,-0.15,0.592,0.227,0.497,0.782,0.908,1.202,0.111,0.176,-0.128,0.736,1.315,0.747,1.47,1.109,0.715,0.829,1.28,0.862,1.4,1.027,0.841,1.425,0.83,0.982,1.283,1.318,1.618,0.924,0.869,1.417,1.382,1.726,2.005,0.739,1.3,1.923,1.504,2.228,Europe & Central Asia,High income,6.8,4807
Greece,GRC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.479,0.619,0.305,-0.301,-0.322,0.79,-0.194,0.182,-0.09,0.269,-0.222,-0.177,-0.357,-0.193,-0.25,-0.916,0.33,-0.555,0.179,-0.379,-0.191,-0.243,-0.493,-0.123,-0.063,0.312,-0.395,0.129,-0.204,0.368,-0.197,-0.528,-0.328,1.06,-0.043,-0.161,-0.195,0.632,0.8,0.679,1.314,0.435,0.385,0.337,0.213,0.254,1.08,0.881,0.771,1.584,0.394,1.235,1.317,1.06,0.904,1.561,0.642,1.905,1.381,1.307,1.655,1.04,Europe & Central Asia,High income,131990.0,80
Greenland,GRL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.295,0.842,0.308,0.257,0.8,-0.212,-0.371,-0.26,-0.252,-0.224,-0.784,-0.841,-0.987,0.306,-1.093,-0.259,0.76,-0.682,0.498,0.919,-0.36,-0.642,-2.062,-1.455,0.891,0.381,-0.121,0.513,-1.537,-0.348,-0.291,-1.228,-1.355,-0.425,-0.328,0.667,0.391,1.269,0.522,0.839,0.831,1.186,2.328,1.469,1.878,1.717,1.363,0.959,0.851,3.058,1.684,1.625,1.381,1.447,0.205,2.381,1.21,0.934,2.206,1.274,2.482,1.413,Europe & Central Asia,High income,2166086.0,0
Grenada,GRD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.114,0.053,0.309,-0.052,-0.196,0.065,-0.233,-0.139,0.504,0.299,-0.303,-0.117,0.073,-0.447,-0.396,-0.24,-0.127,0.067,0.274,0.212,0.331,0.085,0.36,-0.048,-0.429,-0.192,0.442,0.446,-0.169,0.203,0.398,0.388,0.431,0.456,0.71,0.471,0.63,1.187,0.617,0.462,0.691,0.627,0.905,0.433,1.004,0.739,0.678,0.502,0.507,1.201,0.677,0.584,0.776,0.641,0.837,0.945,0.92,0.543,1.169,1.235,0.767,0.698,Latin America & Caribbean,Upper middle income,344.0,371
Guatemala,GTM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.045,-0.131,-0.096,-0.052,-0.066,-0.057,-0.366,-0.337,0.413,-0.106,-0.141,0.429,0.458,-0.281,0.137,-0.392,0.225,0.128,0.332,0.432,-0.016,0.457,0.649,0.116,0.164,0.125,0.31,0.481,0.132,0.309,0.624,0.445,0.346,0.592,0.595,0.09,0.71,0.867,0.558,0.31,0.344,0.556,0.99,0.611,0.801,0.612,0.597,0.213,0.692,0.685,0.429,0.52,0.624,0.638,1.143,1.425,1.069,0.884,1.418,1.728,1.406,0.916,Latin America & Caribbean,Upper middle income,108889.0,169
Guinea,GIN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.145,-0.137,0.16,-0.18,-0.095,-0.003,-0.237,-0.151,0.459,0.345,-0.131,0.203,0.579,-0.063,-0.248,-0.242,0.203,0.192,0.491,0.636,0.337,0.215,0.635,0.38,0.382,0.077,0.81,0.61,0.116,0.653,0.679,0.33,0.702,0.471,0.486,0.791,0.785,1.194,0.512,0.651,0.792,1.13,0.979,1.04,1.19,1.117,0.974,1.113,0.931,1.321,1.095,0.556,1.068,0.857,1.155,1.167,1.522,1.188,1.408,1.26,1.559,1.195,Sub-Saharan Africa,Lower middle income,245857.0,58
Guinea-Bissau,GNB,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.13,-0.071,0.157,-0.227,-0.383,-0.046,-0.269,-0.432,0.723,0.345,-0.059,0.263,0.579,-0.15,-0.195,-0.109,0.358,0.294,0.487,0.645,0.473,0.282,0.902,0.516,0.361,0.495,0.828,0.669,0.441,0.96,0.786,0.71,0.893,0.744,0.798,0.955,1.129,1.56,0.746,0.996,1.244,1.281,1.04,1.171,1.401,1.186,1.034,1.362,0.811,1.328,1.092,0.795,1.055,1.168,1.192,1.572,1.674,1.125,1.419,1.663,1.66,1.295,Sub-Saharan Africa,Low income,36125.0,76
Guyana,GUY,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.043,-0.009,-0.188,0.32,-0.065,0.212,-0.083,-0.274,0.439,0.489,-0.486,-0.024,0.084,-0.462,-0.301,-0.354,0.083,-0.028,0.341,0.322,0.185,0.41,0.539,-0.351,-0.329,0.015,0.495,0.4,-0.044,0.527,0.286,0.131,0.178,0.482,0.988,0.61,0.884,1.287,0.405,0.658,0.825,1.074,0.948,0.942,1.321,1.003,1.025,0.558,1.162,1.115,0.968,0.958,0.894,1.071,1.352,1.506,1.149,1.137,1.178,1.4,0.875,1.066,Latin America & Caribbean,High income,214969.0,4
Haiti,HTI,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.012,-0.049,-0.111,0.223,-0.31,-0.025,-0.209,-0.272,0.174,-0.123,-0.17,0.015,0.356,-0.342,0.22,-0.431,0.353,0.191,0.219,0.637,0.444,0.571,0.622,0.305,0.163,0.282,0.842,0.721,0.396,0.694,0.775,0.59,0.45,1.198,1.188,0.685,1.099,1.244,1.147,0.858,0.758,0.953,1.24,0.888,1.042,0.935,1.151,0.624,0.806,1.206,0.489,0.759,1.133,1.306,1.384,1.164,1.061,1.277,1.507,1.537,0.883,1.095,Latin America & Caribbean,Lower middle income,27750.0,425
Honduras,HND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.058,-0.162,-0.229,-0.029,-0.055,0.006,-0.286,-0.319,0.243,-0.124,-0.161,0.269,0.507,-0.327,0.068,-0.248,0.337,0.25,0.407,0.434,0.108,0.449,0.581,0.073,0.14,0.138,0.391,0.621,0.191,0.258,0.493,0.481,0.203,0.774,0.876,0.075,0.797,1.018,0.384,0.128,0.396,0.776,0.672,0.491,0.956,0.621,0.769,0.566,0.811,0.806,0.73,0.639,0.915,0.666,1.126,1.368,1.034,0.804,1.233,1.813,1.098,0.723,Latin America & Caribbean,Lower middle income,112492.0,95
Hungary,HUN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",1.176,-0.419,-0.463,-0.877,-0.883,0.755,0.594,0.383,-0.276,-0.508,-0.063,0.39,-0.033,0.263,0.857,-0.274,0.549,-0.871,0.047,-0.62,0.146,0.105,0.997,-0.129,-1.068,0.356,-0.547,0.385,0.864,1.07,-0.058,0.911,0.069,1.755,0.631,-0.34,-0.148,1.081,0.603,1.733,1.391,1.423,0.71,0.543,0.236,0.699,2.142,1.495,1.613,0.806,0.891,1.727,1.159,2.229,2.067,1.89,1.336,2.524,2.353,1.99,1.43,2.142,Europe & Central Asia,High income,93028.0,111
Iceland,ISL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",0.547,-0.27,-0.091,1.097,-0.131,-0.498,-0.597,-0.635,-0.9,-0.617,-0.005,0.777,-0.099,0.522,-0.42,0.377,-0.258,0.054,-1.239,0.407,-0.909,-0.258,-0.863,0.204,0.164,-0.077,0.685,-0.088,-0.174,0.169,0.766,0.231,0.225,-0.108,-0.33,0.562,0.436,0.238,0.471,0.274,0.584,0.784,1.784,1.235,0.448,1.032,1.101,0.753,0.907,1.147,0.959,0.667,0.687,1.66,0.419,1.411,1.694,0.82,1.339,0.786,0.921,1.201,Europe & Central Asia,High income,103000.0,4
India,IND,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",-0.208,-0.479,-0.03,-0.03,-0.072,0.29,-0.21,-0.234,0.303,0.033,-0.519,0.012,0.332,0.034,-0.308,0.003,0.155,-0.15,0.305,0.401,0.072,-0.017,-0.135,-0.107,0.211,0.19,0.578,0.504,-0.018,-0.081,0.19,0.035,0.223,0.107,0.238,0.339,-0.064,0.614,0.468,0.35,0.473,0.827,0.665,0.545,0.567,0.638,0.607,0.263,1.134,1.129,0.365,0.516,0.451,0.53,0.711,1.088,0.966,0.874,0.802,0.52,0.733,0.79,South Asia,Lower middle income,3287590.0,481
